SITE,DATE,time line,pH,Temp,normality,sampleVolume,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp
CUPE,2018-03-20,March_2018,8.05,20.6,0.16,50,,,,
CUPE,2018-04-17,April_2018,8.3,22,0.16,50,7.85,91.6,308.2,22.4
CUPE,2018-04-17,April_2018,8.15,21.5,0.16,50,,,,
CUPE,2018-04-25,April_2018,7.38,19.3,0.16,50,8.41,96.9,219,21.7
CUPE,2018-04-25,April_2018,7.48,21.4,0.16,50,,,,
CUPE,2018-05-15,May_2018,8.12,22.2,0.16,50,8.24,97.3,301.1,22.9
CUPE,2018-05-15,May_2018,8.26,20.5,0.16,50,,,,
CUPE,2018-06-13,June_2018,8.26,21.7,0.16,50,7.78,94,297.9,24.1
CUPE,2018-06-13,June_2018,8.03,22.3,0.16,50,,,,
CUPE,2018-06-20,June_2018,8.18,18,0.16,50,7.45,90.5,297.9,24.7
CUPE,2018-06-20,June_2018,8.2,18,0.16,50,,,,
CUPE,2018-07-19,July_2018,7.99,20.8,0.16,50,7.66,92,298.6,23.8
CUPE,2018-07-19,July_2018,7.95,22.7,0.16,50,,,,
CUPE,2018-08-07,August_2018,8.27,18.8,0.16,50,7.55,90.9,294,24
CUPE,2018-08-07,August_2018,8.2,21.5,0.16,50,,,,
CUPE,2018-08-13,August_2018,7.97,18.1,0.16,50,7.39,89.1,291.9,23.8
CUPE,2018-08-13,August_2018,8.05,20.1,0.16,50,,,,
CUPE,2018-08-27,August_2018,7.96,18,0.16,50,7.65,89.6,250.4,22.8
CUPE,2018-08-27,August_2018,8.17,19.2,0.16,50,,,,
CUPE,2018-09-12,September_2018,8.11,21.1,0.16,50,8.24,97.4,235.2,22.8
CUPE,2018-09-12,September_2018,8.02,20,0.16,50,,,,
CUPE,2018-09-18,September_2018,7.94,17.1,0.16,50,8.02,96.4,282.1,23.8
CUPE,2018-09-18,September_2018,8.11,18,0.16,50,,,,
CUPE,2018-09-24,September_2018,7.99,17.8,0.16,50,8.22,97.1,290.9,23
CUPE,2018-09-24,September_2018,8.12,19,0.16,50,,,,
CUPE,2018-10-03,October_2018,8.05,23,0.16,50,8.12,95.2,195.8,22.3
CUPE,2018-10-03,October_2018,8.13,21.5,0.16,50,,,,
CUPE,2018-10-16,October_2018,8.26,18.1,0.16,50,7.8,91.9,286.2,22.7
CUPE,2018-10-16,October_2018,8.12,17.8,0.16,50,,,,
CUPE,2018-10-23,October_2018,8.25,19.5,0.16,50,7.9,93.4,288.3,23
CUPE,2018-10-29,October_2018,8.23,19.9,0.16,50,8.35,98,292.3,22.5
CUPE,2018-11-06,November_2018,8.23,20.4,0.16,50,10.18,118.7,244,22.1
CUPE,2018-11-06,November_2018,8.29,17.7,0.16,50,,,,
CUPE,2018-11-13,November_2018,8.03,19.6,0.16,50,8.94,105.3,265.8,22.8
CUPE,2018-11-28,November_2018,8.35,18.3,0.16,50,14.65,169.8,323.1,22.4
CUPE,2018-12-18,December_2018,8.31,17.9,0.16,50,7.71,88.8,315.1,21.7
CUPE,2018-12-18,December_2018,8.29,19.6,0.16,50,,,,
CUPE,2019-02-12,Feburary_2019,7.91,18.1,0.16,50,8.43,95.7,307.2,20.9
CUPE,2019-02-12,Feburary_2019,7.78,19.8,0.16,50,,,,
CUPE,2019-03-04,March_2019,8.25,18.6,0.16,50,7.56,87.4,307.2,21.6
CUPE,2019-03-12,March_2019,7.7,22.9,0.16,50,7.89,89.3,304.9,20.7
CUPE,2019-03-12,March_2019,7.93,21.5,0.16,50,,,,
CUPE,2019-04-09,April_2019,8.06,18,0.16,50,,,,
CUPE,2019-04-09,April_2019,8.15,15.2,0.16,50,7.55,86.1,301.5,21.3
CUPE,2019-04-29,April_2019,8.21,18,0.16,50,7.52,88.5,280.2,22.8
CUPE,2019-05-07,May_2019,8.26,16,0.16,50,6.72,79.6,297.8,23
CUPE,2019-05-07,May_2019,8.24,20.5,0.16,50,,,,
CUPE,2019-05-23,May_2019,8.13,16.5,0.16,50,6.8,81.3,307.4,23.7
CUPE,2019-06-04,June_2019,8.19,18.3,0.16,50,6.9,82.2,302,23.7
CUPE,2019-06-04,June_2019,8.04,16.9,0.16,50,,,,
CUPE,2019-06-24,June_2019,8.15,17.2,0.16,50,6.55,80.8,306.7,24.4
CUPE,2019-06-24,June_2019,8.11,19.5,0.16,50,,,,
CUPE,2019-07-09,July_2019,8.04,18.1,0.16,50,7.02,85,286.7,24.3
CUPE,2019-07-09,July_2019,8.05,20.5,0.16,50,,,,
CUPE,2019-07-18,July_2019,7.98,18,0.16,50,7.02,84.4,276.7,23.8
CUPE,2019-08-06,August_2019,8.26,18,0.16,50,6.89,83.3,282.5,24.4
CUPE,2019-08-06,August_2019,8.2,18.8,0.16,50,,,,
CUPE,2019-08-12,August_2019,8.31,21.8,0.16,50,6.98,84.7,276.5,24.3
CUPE,2019-08-27,August_2019,8.12,18.7,0.16,50,6.98,85.6,278.8,24.7
CUPE,2019-09-03,September_2019,8.15,19.7,0.16,50,,,,
CUPE,2019-09-03,September_2019,8.03,19.9,0.16,50,,,,
CUPE,2019-09-12,September_2019,7.96,21,0.16,50,7.26,87.7,240.1,23.9
CUPE,2019-10-01,October_2019,8.24,19.6,0.16,50,7.96,96.4,243.5,24
CUPE,2019-10-01,October_2019,8.29,17,0.16,50,,,,
CUPE,2019-10-07,October_2019,8.34,18.1,0.16,50,8,96.4,271.3,23.9
CUPE,2019-10-16,October_2019,7.68,17.2,0.16,50,8.27,97.1,199.1,22.5
CUPE,2019-10-28,October_2019,8.32,17.7,0.16,50,8.1,95.4,248.9,22.7
CUPE,2019-11-05,November_2019,7.94,16,0.16,50,8.09,94.8,240.2,22.5
CUPE,2019-11-05,November_2019,8.03,19.2,0.16,50,,,,
CUPE,2019-11-11,November_2019,8.42,19.5,0.16,50,8.12,96.5,290.5,23.2
CUPE,2019-12-03,December_2019,7.89,21.5,0.16,50,7.86,93.1,286.6,22.9
CUPE,2019-12-03,December_2019,7.65,19.2,0.16,50,,,,
CUPE,2019-12-10,December_2019,7.69,20.2,0.16,50,7.81,90.7,269.9,22
CUPE,2020-02-25,Feburary_2020,8.3,17.4,0.16,50,7.22,83.7,301.9,21.9
CUPE,2020-02-25,Feburary_2020,8.35,18.1,0.16,50,,,,
CUPE,2020-03-02,March_2020,8.18,18.8,0.16,50,8.21,95.3,262.1,22.2
CUPE,2020-03-02,March_2020,8.1,17.4,0.16,50,,,,
CUPE,2020-03-10,March_2020,8.24,16.9,0.16,50,,,,
CUPE,2020-03-10,March_2020,8.17,19,0.16,50,8.21,93.69,301.74,21.9
GUIL,2015-01-22,January_2015,7.99,13.7,1.6,100,,,230.1,12.9
GUIL,2015-01-22,January_2015,8.02,13.7,1.6,100,,,,
GUIL,2015-02-05,Feburary_2015,8.02,14.9,1.6,100,,,222.1,19.6
GUIL,2015-02-05,Feburary_2015,8.09,12.9,1.6,100,,,,
GUIL,2015-03-03,March_2015,8.02,17.2,1.6,100,,,223,20
GUIL,2015-03-03,March_2015,8.2,17.2,1.6,100,,,,
GUIL,2015-03-17,March_2015,8.04,20.3,1.6,100,,,194.9,19.1
GUIL,2015-03-17,March_2015,8.18,19.3,1.6,100,,,,
GUIL,2015-03-31,March_2015,7.78,21.5,1.6,100,,,215.5,19.3
GUIL,2015-03-31,March_2015,7.48,22,1.6,100,,,,
GUIL,2015-04-21,April_2015,8.16,23.4,1.6,100,,,219.4,21.1
GUIL,2015-04-21,April_2015,8.17,22.4,1.6,100,,,,
GUIL,2015-09-01,September_2015,7.85,21.1,1.6,100,,,192.4,21.8
GUIL,2015-09-01,September_2015,7.9,21.1,1.6,100,,,,
GUIL,2015-09-08,September_2015,8,21.1,1.6,100,,,172.8,21.2
GUIL,2015-09-08,September_2015,7.96,21.9,1.6,100,,,,
GUIL,2015-09-22,September_2015,8.02,20.1,1.6,100,,,213.2,21.8
GUIL,2015-09-22,September_2015,8.01,20.8,1.6,100,,,,
GUIL,2015-09-28,September_2015,8.05,23.4,1.6,100,,,206.9,22.4
GUIL,2015-09-28,September_2015,1.6,23.4,1.6,100,,,,
GUIL,2015-10-13,October_2015,7.94,22.3,1.6,100,,,223.3,21.9
